Num_Acc;id_vehicule;catv;obs;obsm;choc;manv;motor;id_usager;place;catu;grav;sexe;an_nais;trajet;secu1;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;lat;long;catr;circ;nbv;vosp;prof;plan;surf;infra;situ;vma;day_of_week;gravity
202100000001;201 764;1;0;2;1;1;5;267 638;1;1;3;1;2000.0;1;0;30;11;2021;07;2;30;30319;1;1;1;1;44,0389580000;4,3480220000;3;2;2;0;1;1;1;0;1;80;1;Blessé hospitalisé
202100000001;201 765;7;0;9;3;17;1;267 639;1;1;1;1;1978.0;1;1;30;11;2021;07;2;30;30319;1;1;1;1;44,0389580000;4,3480220000;3;2;2;0;1;1;1;0;1;80;1;Indemne
202100000006;201 752;1;0;0;5;1;5;267 625;1;1;4;1;2009.0;2;0;23;11;2021;11;1;68;68004;2;3;1;2;47,6142390000;7,2343360000;4;2;2;0;1;1;1;0;1;50;1;Blessé léger
202100000006;201 753;7;0;2;1;1;1;267 626;1;1;1;1;1976.0;5;1;23;11;2021;11;1;68;68004;2;3;1;2;47,6142390000;7,2343360000;4;2;2;0;1;1;1;0;1;50;1;Indemne
202100000071;201 623;1;0;0;0;0;0;267 428;1;1;3;1;2007.0;0;0;14;10;2021;17;1;60;60057;2;1;1;1;49,4186200000;2,0834300000;4;1;0;0;1;1;1;0;1;30;3;Blessé hospitalisé
202100000071;201 623;1;0;0;0;0;0;267 429;2;2;1;1;2007.0;0;0;14;10;2021;17;1;60;60057;2;1;1;1;49,4186200000;2,0834300000;4;1;0;0;1;1;1;0;1;30;3;Indemne
202100000071;201 624;7;0;2;3;21;1;267 430;1;1;1;2;1980.0;0;1;14;10;2021;17;1;60;60057;2;1;1;1;49,4186200000;2,0834300000;4;1;0;0;1;1;1;0;1;30;3;Indemne
202100000108;201 558;1;12;0;1;14;5;267 328;1;1;2;2;2007.0;5;8;6;11;2021;22;5;987;98736;2;3;1;6; -17,5397800000; -149,5450200000;4;2;2;0;2;2;1;2;1;30;5;Tué
202100000136;201 507;13;0;2;2;26;1;267 255;1;1;1;1;1968.0;4;1;25;5;2021;15;1;31;31555;2;1;1;3;43,5969171534;1,4261841774;4;2;3;1;1;1;1;0;5;5;1;Indemne
202100000136;201 508;1;0;2;3;0;0;267 256;1;1;3;2;1977.0;0;8;25;5;2021;15;1;31;31555;2;1;1;3;43,5969171534;1,4261841774;4;2;3;1;1;1;1;0;5;5;1;Blessé hospitalisé
202100000162;201 456;1;0;2;1;2;5;267 192;1;1;4;1;1962.0;1;2;12;11;2021;12;1;91;91471;2;1;1;3;48,7020770000;2,1905530000;4;2;2;2;2;1;1;0;1;50;4;Blessé léger
202100000162;201 457;7;0;2;2;11;1;267 193;1;1;1;2;1960.0;1;1;12;11;2021;12;1;91;91471;2;1;1;3;48,7020770000;2,1905530000;4;2;2;2;2;1;1;0;1;50;4;Indemne
202100000175;201 432;1;0;0;8;1;5;267 157;1;1;2;1;1954.0;5;2;30;6;2021;08;1;11;11294;1;1;1;7;43,0585800000;2,0439080000;3;2;2;0;2;2;1;0;1;80;2;Tué
