Num_Acc;id_vehicule;num_veh;catv;obs;obsm;choc;manv;motor;id_usager;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;lat;long;catr;circ;nbv;vosp;prof;plan;larrout;surf;infra;situ;vma;gravity;day_of_week
202300000017;155 680 527;B01;1;0;2;1;13;5;203 851 138;1;1;4;1;1958.0;5;8;0;-1;7;5;2023;21:40;5;92;92007;2;9;2;3;48.802023;2.318006;3;2;2;0;1;1; -1;2;0;1;30;Blessé léger;6
202300000017;155 680 528;A01;7;0;9;1;15;1;203 851 139;1;1;1;1;2003.0;5;1;0;-1;7;5;2023;21:40;5;92;92007;2;9;2;3;48.802023;2.318006;3;2;2;0;1;1; -1;2;0;1;30;Indemne;6
202300000025;155 680 513;C01;1;0;0;0;2;5;203 851 119;1;1;4;1;1955.0;5;0;-1;-1;6;5;2023;10:10;1;67;67465;2;1;1;3;48.79991;7.983214;3;2;2;0;1;1;5,5;1;0;1;50;Blessé léger;5
202300000025;155 680 514;A01;15;0;0;0;2;1;203 851 120;1;1;1;1;1998.0;3;1;-1;-1;6;5;2023;10:10;1;67;67465;2;1;1;3;48.79991;7.983214;3;2;2;0;1;1;5,5;1;0;1;50;Indemne;5
202300000026;155 680 511;A01;7;0;2;2;17;1;203 851 117;1;1;1;2;1969.0;5;1;-1;-1;7;5;2023;16:30;1;56;56234;1;1;1;7;47.541813;-3.134907;3;2;2;0;1;1;7;1;0;1;50;Indemne;6
202300000026;155 680 512;B01;80;0;2;0;1;3;203 851 118;1;1;4;2;1962.0;5;0;-1;-1;7;5;2023;16:30;1;56;56234;1;1;1;7;47.541813;-3.134907;3;2;2;0;1;1;7;1;0;1;50;Blessé léger;6
202300000033;155 680 500;B01;1;0;2;0;2;5;203 851 102;1;1;4;1;2009.0;5;0;-1;-1;7;5;2023;12:30;1;29;29105;2;1;1;3;48.509735;-4.075059;4;2;2;0;2;1;7;1;0;1;30;Blessé léger;6
202300000033;155 680 501;A01;1;0;2;0;26;5;203 851 103;1;1;3;1;2003.0;5;0;-1;-1;7;5;2023;12:30;1;29;29105;2;1;1;3;48.509735;-4.075059;4;2;2;0;2;1;7;1;0;1;30;Blessé hospitalisé;6
202300000042;155 680 487;A01;1;0;1;1;2;5;203 851 080;1;1;1;1;2006.0;5;9;-1;-1;5;5;2023;12:15;1;17;17218;2;1;1;6;46.307338;-0.998664;4;2;2;0;1;1; -1;1;0;4;50;Indemne;4
202300000042;155 680 487;A01;1;0;1;1;2;5;203 851 081;10;3;3;2;1932.0;5;0;-1;-1;5;5;2023;12:15;1;17;17218;2;1;1;6;46.307338;-0.998664;4;2;2;0;1;1; -1;1;0;4;50;Blessé hospitalisé;4
